trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.1, 'e': 0.14814499154757982}",20,0,13.822905809026489,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
191,False,"{'a': 0.1, 'e': 0.14666354163210402}",20,6,-3.4384230253834867,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.1, 'e': 0.145196906215783}",25,15,-24.972824398157467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
193,False,"{'a': 0.1, 'e': 0.14374493715362516}",25,20,8.05924412638108,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.1, 'e': 0.1423074877820889}",20,12,4.073566233675645,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1, 'e': 0.140884412904268}",20,0,29.817493329406204,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.1, 'e': 0.13947556877522532}",25,7,17.531909924925575,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.1, 'e': 0.13808081308747308}",20,3,22.69643987882734,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.1, 'e': 0.13670000495659834}",20,14,11.15770302937191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.1, 'e': 0.13533300490703237}",25,18,14.684758174966813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.1, 'e': 0.13397967485796206}",30,16,12.737303103054401,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.1, 'e': 0.13263987810938244}",25,14,19.54453981885757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.1, 'e': 0.1313134793282886}",25,20,8.530294901116449,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.1, 'e': 0.13000034453500572}",30,13,-9.125023534256545,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.1, 'e': 0.12870034108965567}",25,11,13.287232713578957,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.1, 'e': 0.12741333767875912}",20,13,14.636348034976205,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.1, 'e': 0.12613920430197154}",25,3,35.62566179609316,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.1, 'e': 0.12487781225895182}",20,16,8.191099081749648,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.1, 'e': 0.12362903413636231}",20,9,13.163182472382074,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.1, 'e': 0.12239274379499869}",20,6,-4.333944523856597,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.1, 'e': 0.12116881635704871}",25,12,22.393808104962808,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.1, 'e': 0.11995712819347822}",20,12,18.642577816712155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.1, 'e': 0.11875755691154344}",20,0,3.614656661814263,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
213,False,"{'a': 0.1, 'e': 0.117569981342428}",20,2,-7.102802799256979,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
214,False,"{'a': 0.1, 'e': 0.11639428152900373}",25,9,28.600316764370916,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.1, 'e': 0.1152303387137137}",30,17,25.43719204183569,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.1, 'e': 0.11407803532657657}",25,17,9.915679058290387,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.1, 'e': 0.1129372549733108}",20,5,5.813477797559083,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
218,False,"{'a': 0.1, 'e': 0.11180788242357768}",25,0,38.53381762847889,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
219,False,"{'a': 0.1, 'e': 0.11068980359934191}",20,15,11.081342620244325,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.1, 'e': 0.10958290556334849}",25,5,5.446150794683668,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
221,False,"{'a': 0.1, 'e': 0.108487076507715}",20,6,26.93502112055635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.1, 'e': 0.10740220574263784}",20,0,27.023598445069698,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.1, 'e': 0.10632818368521146}",20,10,20.289703753499907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.1, 'e': 0.10526490184835935}",20,5,22.086570854176042,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.1, 'e': 0.10421225282987576}",25,18,13.542158947590345,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.1, 'e': 0.103170130301577}",25,18,5.197381986574721,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.1, 'e': 0.10213842899856122}",25,13,21.985873119323536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.1, 'e': 0.1011170447085756}",25,8,8.360551254906134,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
